generation,genome,fitness
3,3.33201,3.20824
3,3.33201,3.20824
3,3.03673,-0.668855
3,3.43823,2.66796
3,3.33201,3.20824
3,3.26645,2.86887
3,3.22982,2.4488
3,3.06089,-0.35167
3,3.79365,1.29798
3,3.9175,1.71073
3,3.2224,2.34669
3,3.33201,3.20824
3,3.43823,2.66796
3,2.88876,-1.09027
3,3.44402,2.61076
3,3.71858,0.946559
3,4.4147,1.99503
3,3.43823,2.66796
3,3.43823,2.66796
3,3.33201,3.20824
3,2.92557,-1.23574
3,3.43823,2.66796
3,3.39882,2.99782
3,3.20687,2.11718
3,3.25556,2.75976
3,3.33201,3.20824
3,3.9175,1.71073
3,3.26059,2.81186
3,3.22982,2.4488
3,3.33201,3.20824
3,3.52413,1.73742
3,3.44402,2.61076
3,3.58242,1.19853
3,3.37317,3.13877
